"Category","Outbreak","Location","Continent","Lat","Long","Date","Year","Cases","Fatalities","Impact Scale","Source Citation","Source"
"Polio","Polio","Afghanistan","Asia","33.4131","68.09326","1/2010-12/2010","2010.0","25.0","0.0","Epidemic","CDC. ""Progress Toward Poliomyelitis Eradication — Afghanistan and Pakistan, January 2011–August 2012."" Morbidity and Mortality Weekly Report. October 5, 2012.","http://www.cdc.gov/mmwr/preview/mmwrhtml/mm6139a4.htm?s_cid=mm6139a4_e"
"Polio","Polio","Afghanistan","Asia","33.4131","68.09326","1/2011-12/2011","2011.0","80.0","0.0","Epidemic","Global Polio Eradication Initative. ""Case breakdown by country."" July, 2012.","http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx"
"Polio","Polio","Afghanistan","Asia","32.54681","64.07227","1/2012-11/2012","2012.0","37.0","0.0","Secondary","Global Polio Eradication Initative. ""Case
breakdown by country."" January 9, 2013.","http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx"
"Polio","sabin-like type 2 polio","Afghanistan (Kandahar)","Asia","28.31405","65.2478","12/2012","2012.0","2.0","0.0","Cluster","Wasif, Sehrish. ""New Polio Strain from Pakistan Hits Afghanistan."" The Express Tribune. December 2, 2012.","http://tribune.com.pk/story/473980/new-polio-strain-from-pakistan-hits-afghanistan/"
"Polio","Polio","Afghanistan","Asia","33.65121","64.07227","1/2013-12/2013","2013.0","14.0","0.0","Epidemic","Global Polio Eradication Initiative. ""Polio this week - as of 29 January 2014."" January 29, 2014.","http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx"
"Polio","Polio","Afghanistan","Asia","33.93911","67.70995","1/2014-12/2014","2014.0","26.0","0.0","Epidemic","Global Polio Eradication Initiative. ""Polio this week as of 24 December 2014."" December 24, 2014.","http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx"
"Polio","Polio","Afghanistan","Asia","34.17183","70.62168","8/2015","2015.0","7.0","0.0","Isolated","Global Polio Eradication Initiative. ""Polio this week as of 26 August 2015."" August 27, 2015. ","http://www.polioeradication.org/Dataandmonitoring/Poliothisweek.aspx"
"Polio","Polio","Afghanistan","Asia","31.36365","63.95861","11/2015","2015.0","75.0","0.0","Epidemic","SyndiGate, ""Suspected polio outbreak in Afghanistan."" Albawaba News. November 29, 2015. ","http://www.albawaba.com/news/suspected-polio-outbreak-afghanistan-774742"
"Whooping Cough","Whooping Cough","Afghanistan (Badkhshan)","Asia","36.73477","70.811995","12/2012","2012.0","350.0","12.0","Cluster","Pakistan News Service, ""Whooping cough kills 12 children,"" December 29, 2012.","http://paktribune.com/news/Whooping-cough-kills-12-children-256076.html"
"Measles","Measles","Afghanistan (Ghor)","Asia","35.16713","63.76954","2/2012","2012.0","6000.0","20.0","Epidemic","Los Angeles Times. ""Measles outbreak kills at least 20 Afghan children."" February 21, 2012.","http://latimesblogs.latimes.com/world_now/2012/02/measles-outbreak-kills-at-least-20-afghan-children.html"
